tcga_code,gene,round2B_logFC,round2B_q,round2B_robust,round2B_interpretation,stage1_shift,stage1_robust,stage1_interpretation,finite_overlap,direction_concordant,robust_call_agreement,round2B_n_pairs,stage1_n_pairs,stage1_mean_shift,stage1_p_value,stage1_q_value_bh70,stage1_passes_statistical_screen,stage1_passes_effect_screen,round2B_analysis_status,stage1_status,xena_patient_cases,round2B_patient_cases,n_common_patient_cases,n_xena_only_cases,n_round2B_only_cases,exact_patient_set_match,patient_set_relation,status
LIHC,CYP3A4,-7.284966075661003,2.2898221294465483e-16,TRUE,loss,-5.301753122166039,TRUE,loss,TRUE,TRUE,TRUE,50,50,-4.932155353844504,1.9294792751825317e-8,1.1255295771898101e-7,TRUE,TRUE,primary_count_level,estimable_xena,50,50,50,0,0,TRUE,exact_match,overlap_estimable
LIHC,CYP3A5,-1.055955835712751,1.1848467202349453e-6,TRUE,loss,-0.04433677117576007,FALSE,not_robust,TRUE,TRUE,FALSE,50,50,-0.24630576501311358,0.34908373173011176,0.4119057891435222,FALSE,FALSE,primary_count_level,estimable_xena,50,50,50,0,0,TRUE,exact_match,overlap_estimable
LIHC,CYP3A7,-1.8042319330231504,7.686860413633159e-5,TRUE,loss,-1.5145018077963759,TRUE,loss,TRUE,TRUE,TRUE,50,50,-1.4768902077553685,3.6795649825015724e-4,8.068289805158411e-4,TRUE,TRUE,primary_count_level,estimable_xena,50,50,50,0,0,TRUE,exact_match,overlap_estimable
LIHC,CYP3A43,-2.8537130033334575,2.8030757628131783e-11,TRUE,loss,-1.5015379743905664,TRUE,loss,TRUE,TRUE,TRUE,50,50,-1.3688098186736615,3.178141703965994e-8,1.5890708519829968e-7,TRUE,TRUE,primary_count_level,estimable_xena,50,50,50,0,0,TRUE,exact_match,overlap_estimable
LUAD,MAOB,-1.5021946041796652,5.4901064679441514e-14,TRUE,loss,-1.5738246828989684,TRUE,loss,TRUE,TRUE,TRUE,58,58,-1.5810982076962992,2.2830372871200963e-10,2.663543501640112e-9,TRUE,TRUE,primary_count_level,estimable_xena,58,58,58,0,0,TRUE,exact_match,overlap_estimable
LUAD,CYP3A4,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,58,58,0.019645037606574812,0.7961854570679834,0.8196026763935123,FALSE,FALSE,low_expression_not_estimable,estimable_xena,58,58,58,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
LUAD,CYP3A5,-0.3332621167777662,0.11445187745725556,FALSE,not_robust,-1.014187118971747,TRUE,loss,TRUE,TRUE,FALSE,58,58,-0.7890019309847431,3.1798251675236536e-4,7.419592057555192e-4,TRUE,TRUE,primary_count_level,estimable_xena,58,58,58,0,0,TRUE,exact_match,overlap_estimable
LUAD,CYP3A7,,,FALSE,not_estimable_primary,-0.9276512715173482,TRUE,loss,FALSE,,,58,58,-1.0177467122442405,5.461881984269225e-11,9.558293472471144e-10,TRUE,TRUE,low_expression_not_estimable,estimable_xena,58,58,58,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
LUAD,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,58,58,-0.0164956095368851,0.1272746504932012,0.18560886530258505,FALSE,FALSE,low_expression_not_estimable,estimable_xena,58,58,58,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
LUSC,MAOB,-2.240749604167458,1.062361085868258e-16,TRUE,loss,-2.0351974785313605,TRUE,loss,TRUE,TRUE,TRUE,51,50,-2.094028950023701,1.054912818376731e-9,1.054912818376731e-8,TRUE,TRUE,primary_count_level,estimable_xena,50,51,50,0,1,FALSE,source_specific_mismatch_recorded,overlap_estimable
