tcga_code,gene,target_gene_id,target_logFC,target_q_value_global,target_baseline_tpm,target_tau,target_breadth_1tpm,target_organ_specificity_log2,target_mean_normal_logcpm,n_background,background_median_baseline_log2_tpm1,background_median_tau,background_median_breadth_1tpm,background_median_organ_specificity_log2,background_median_normal_logcpm,background_median_logFC,background_mean_logFC,excess_logFC_vs_background,background_percentile,empirical_p_lower,empirical_p_upper,empirical_p_directional,empirical_p_two_sided,median_matching_distance,maximum_matching_distance,matching_status,q_empirical_directional,selective_disruption_candidate,selective_direction,organ,selective_disruption_candidate_directional_legacy,selective_direction_directional_legacy,q_empirical_two_sided,matched_background_primary_inference
LIHC,CYP3A5,ENSG00000106258,-1.055955835712751,1.1848467202349453e-6,155.853,0.9437232781882396,0.5370370370370371,6.564089308795446,8.08114751110693,200,6.331499408599881,0.962580180099908,0.5,6.026634288142217,7.390333882257597,-1.6697248542629526,-1.8975597250329608,0.6137690185502016,0.72,0.7213930348258707,0.2835820895522388,0.7213930348258707,0.5671641791044776,1.801825258427716,2.215320476009002,estimable:caliper_relaxed_to_minimum,0.7363834422657952,FALSE,not_selective_after_two_sided_matching,liver,FALSE,not_selective_after_matching,0.7264348554671135,two_sided_empirical_P_with_BH_across_estimable_cells
LIHC,CYP3A7,ENSG00000160870,-1.8042319330231504,7.686860413633159e-5,24.5131,0.9920989699539168,0.05555555555555555,6.840265064553394,4.452004181056193,212,4.526437414510385,0.9754935476289311,0.12962962962962962,6.468670562118776,5.35929478008902,-1.450363297761295,-1.7038283464671669,-0.3538686352618552,0.4056603773584906,0.4084507042253521,0.596244131455399,0.4084507042253521,0.8169014084507042,1.296515304876487,1.9878892637171288,estimable:within_caliper,0.4977992957746479,FALSE,not_selective_after_two_sided_matching,liver,FALSE,not_selective_after_matching,0.8849765258215962,two_sided_empirical_P_with_BH_across_estimable_cells
LIHC,CYP3A43,ENSG00000021461,-2.8537130033334575,2.8030757628131783e-11,4.28768,0.9588837795202964,0.05555555555555555,4.407429299182693,2.8622187235936436,299,2.0292408390900687,0.957636559940904,0.16666666666666666,3.5485901739985852,2.837678880406904,-1.0191780954831446,-1.1967349714176474,-1.8345349078503128,0.137123745819398,0.14,0.8633333333333333,0.14,0.28,1.4857356507281128,1.9998255418608044,estimable:within_caliper,0.26,FALSE,not_selective_after_two_sided_matching,liver,FALSE,not_selective_after_matching,0.52,two_sided_empirical_P_with_BH_across_estimable_cells
LUAD,MAOB,ENSG00000069535,-1.5021946041796652,5.4901064679441514e-14,58.3808,0.7595819301901545,0.9444444444444444,0.0953979214004817,5.714779962333995,1000,5.334736249243609,0.7280925458412124,1,0.2885249057030074,5.733724385212332,0.14638691908706966,0.12490684864035166,-1.648581523266735,0.012,0.01298701298701298,0.988011988011988,0.01298701298701298,0.02597402597402597,0.7281608959245697,0.8842528923702638,estimable:within_caliper,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,lung,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
LUAD,CYP3A4,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,lung,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
LUAD,CYP3A5,ENSG00000106258,-0.3332621167777662,0.11445187745725556,17.5528,0.9437232781882396,0.5370370370370371,3.4209469432450192,3.4044217808390047,1000,3.433349404946331,0.92900967786056,0.5925925925925926,2.7959272924979204,3.735243029677254,-0.6857491567835714,-0.6798952556693243,0.3524870400058052,0.58,0.5804195804195804,0.4205794205794206,0.5804195804195804,0.8411588411588412,1.5412189722403906,1.972321117058791,estimable:within_caliper,0.6467532467532467,FALSE,not_selective_after_two_sided_matching,lung,FALSE,not_selective_after_matching,0.8866268866268866,two_sided_empirical_P_with_BH_across_estimable_cells
LUAD,CYP3A7,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,lung,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
LUAD,CYP3A43,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,lung,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
LUSC,MAOB,ENSG00000069535,-2.240749604167458,1.062361085868258e-16,58.3808,0.7595819301901545,0.9444444444444444,0.0953979214004817,5.825534725399154,1000,5.368226527715853,0.7271863101438192,1,0.29103263557262327,5.787168235061747,0.24016461281174095,0.16981833168946306,-2.480914216979199,0.009,0.00999000999000999,0.991008991008991,0.00999000999000999,0.01998001998001998,0.7057796318009184,0.8545124348596851,estimable:within_caliper,0.08623548922056384,FALSE,not_selective_after_two_sided_matching,lung,FALSE,not_selective_after_matching,0.1724709784411277,two_sided_empirical_P_with_BH_across_estimable_cells
LUSC,CYP3A4,,,,,,,,,,,,,,,,,,,,,,,,,target_not_estimable,,FALSE,not_estimable,lung,FALSE,not_estimable,,two_sided_empirical_P_with_BH_across_estimable_cells
