target_gene,context,logFC,constituent_cancers,n_constituent_cancers,record_type
MAOB,liver,0.2909865243679891,LIHC,1,background_organ_value
MAOB,breast,0.9734480302296612,BRCA,1,background_organ_value
MAOB,colon,0.5646827981897914,COAD,1,background_organ_value
MAOB,kidney,1.147894238758047,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,-0.7949658940409455,LIHC,1,background_organ_value
MAOB,prostate,-0.1743776592536643,PRAD,1,background_organ_value
MAOB,stomach,0.4427704395513309,STAD,1,background_organ_value
MAOB,breast,0.45277973852699094,BRCA,1,background_organ_value
MAOB,kidney,0.333466473457552,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,0.10724445354195426,PRAD,1,background_organ_value
MAOB,esophagus,-0.1840052375027141,ESCA,1,background_organ_value
MAOB,kidney,0.12083950553016844,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,-0.0901511300776045,PRAD,1,background_organ_value
MAOB,liver,-0.20440349942710775,LIHC,1,background_organ_value
MAOB,breast,0.5654520021682338,BRCA,1,background_organ_value
MAOB,colon,-0.21810205259590976,COAD,1,background_organ_value
MAOB,esophagus,0.221287955076684,ESCA,1,background_organ_value
MAOB,kidney,0.6461045290274721,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.1381484971557288,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.10588688717669996,PRAD,1,background_organ_value
MAOB,stomach,0.19925326861871773,STAD,1,background_organ_value
MAOB,stomach,0.09631166295060534,STAD,1,background_organ_value
MAOB,colon,0.5219318041421436,COAD,1,background_organ_value
MAOB,breast,0.6532230682155199,BRCA,1,background_organ_value
MAOB,colon,0.5723073149214872,COAD,1,background_organ_value
MAOB,esophagus,0.032693863931609,ESCA,1,background_organ_value
MAOB,kidney,0.07561901729615084,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,0.3555453546565568,LIHC,1,background_organ_value
MAOB,lung,0.3294712506858657,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.04787619859603587,PRAD,1,background_organ_value
MAOB,kidney,0.1503586023481283,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-1.4651290138334825,LUAD;LUSC,2,background_organ_value
MAOB,liver,-1.0526699946780966,LIHC,1,background_organ_value
MAOB,breast,0.02141762678227927,BRCA,1,background_organ_value
MAOB,kidney,0.27464313409248675,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,0.1455682774157446,PRAD,1,background_organ_value
MAOB,breast,-0.28798381289508,BRCA,1,background_organ_value
MAOB,esophagus,-0.7627653519453323,ESCA,1,background_organ_value
MAOB,kidney,-0.3549510622570443,KICH;KIRC,2,background_organ_value
MAOB,lung,-1.5048255562349205e-4,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.01010679014847701,PRAD,1,background_organ_value
MAOB,esophagus,1.31927339205954,ESCA,1,background_organ_value
MAOB,kidney,1.5130008115040785,KICH;KIRC;KIRP,3,background_organ_value
MAOB,prostate,-0.9267620915625784,PRAD,1,background_organ_value
MAOB,colon,-0.5655629581987495,COAD,1,background_organ_value
MAOB,kidney,-0.441580968958032,KICH;KIRP,2,background_organ_value
MAOB,liver,-1.5537357357858164,LIHC,1,background_organ_value
MAOB,lung,-0.2756412000792925,LUAD;LUSC,2,background_organ_value
MAOB,esophagus,-1.3388744108312458,ESCA,1,background_organ_value
MAOB,kidney,-0.8878389621556172,KICH;KIRC;KIRP,3,background_organ_value
MAOB,breast,-1.1819777380333387,BRCA,1,background_organ_value
MAOB,esophagus,0.28441517005515227,ESCA,1,background_organ_value
MAOB,kidney,-0.918930900097508,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,-1.834284722406302,LIHC,1,background_organ_value
MAOB,prostate,-0.8941909387040845,PRAD,1,background_organ_value
MAOB,breast,0.560402239309563,BRCA,1,background_organ_value
MAOB,colon,0.7105113696177099,COAD,1,background_organ_value
MAOB,kidney,-0.01716923791946808,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.809790251296762,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.4031082272061004,PRAD,1,background_organ_value
MAOB,kidney,0.1591591409560172,KIRC;KIRP,2,background_organ_value
MAOB,liver,0.07674111229575188,LIHC,1,background_organ_value
MAOB,lung,-0.22196398488840086,LUAD;LUSC,2,background_organ_value
MAOB,stomach,0.8541132898912487,STAD,1,background_organ_value
MAOB,breast,0.12620659884801377,BRCA,1,background_organ_value
MAOB,colon,-0.27355778547229975,COAD,1,background_organ_value
MAOB,lung,0.3374961141313081,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.02706031999756519,PRAD,1,background_organ_value
MAOB,stomach,-0.05568160831674199,STAD,1,background_organ_value
MAOB,esophagus,0.10664301986017488,ESCA,1,background_organ_value
MAOB,liver,-0.11155243340922023,LIHC,1,background_organ_value
MAOB,liver,-0.14815859822840954,LIHC,1,background_organ_value
MAOB,breast,-0.6160057583101831,BRCA,1,background_organ_value
MAOB,colon,0.2498828071909363,COAD,1,background_organ_value
MAOB,esophagus,-0.25197543770606046,ESCA,1,background_organ_value
MAOB,lung,-0.7092976700218557,LUSC,1,background_organ_value
MAOB,prostate,0.01572532325122648,PRAD,1,background_organ_value
MAOB,stomach,0.2621998470165508,STAD,1,background_organ_value
MAOB,colon,1.3402539539200296,COAD,1,background_organ_value
