target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000101310,SEC23B,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.15968421750936768,0.1878808689072318,0.7000011125897486,0.7289721025330357,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000101474,APMAP,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,2,0.3333333333333333,0.4193979661212538,0.3986774453576098,0.45919582891022453,0.8066025589013854,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102038,SMARCA1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,2,0.3333333333333333,0,0,-0.2894912548933989,-0.3008735290186936,0.762219935276439,0.9693861266222148,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102054,RBBP7,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.2948211138367312,0.2209148861358034,0.6097033998381033,0.7545896549672192,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102225,CDK16,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.41019085909906494,0.433474671550232,0.42788597561703373,0.4884994240508257,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102226,USP11,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,0,0,-0.34057904461142385,-0.2977957767612247,0.8881962015589958,0.9386502414654408,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102241,HTATSF1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.09291806755249771,0.04755746363578177,0.7061025721718004,0.8917702651647811,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000102409,BEX4,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,5,0.8333333333333334,0,0,-0.8448214271512551,-0.8130324784742683,0.6827099988586214,0.793835429060703,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000103018,CYB5B,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.01226242546443128,0.031748056856351875,0.6270640960963496,0.6932083027501335,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000103197,TSC2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.09091587128460887,0.13720055607044362,0.6687498501643492,0.7682119785628033,TRUE
