tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,bootstrap_p_two_sided,status,organ,bootstrap_q_primary,passes_coexpression_effect,bootstrap_robust,rewiring_direction,n_pairs_permutation,observed_rho_normal_from_cache,observed_rho_tumor_from_cache,observed_delta_rho_from_cache,n_permutations_requested,n_permutations_valid,permutation_p_two_sided,permutation_monte_carlo_se,permutation_null_median_delta_rho,permutation_null_q025,permutation_null_q975,permutation_scheme,q_permutation_primary,n_cells_in_permutation_BH,permutation_passes_effect,permutation_robust,permutation_status,robust_call_agreement,robust_call_comparison
LUAD,CYP3A43,58,1,1,0.7068965517241379,0.5344827586206896,-0.12735231563653046,0.09657858354481316,0.2239308991813436,2000,-0.1191845554382812,0.5574004866137746,0.20589705147426288,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust,58,-0.12735231563653046,0.09657858354481316,0.22393089918134362,5000,5000,0.1861627674465107,0.005504105672748485,-7.835991827483957e-4,-0.32320154288654956,0.3364050123664288,joint within-patient normal/tumor label swap for both genes,0.39832033593281346,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUAD,CYP3A5,58,1,1,1,1,0.3497800609062105,0.08499184841120919,-0.2647882124950013,2000,-0.6172449000040587,0.12351612725455766,0.16991504247876063,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust,58,0.3497800609062105,0.08499184841120919,-0.2647882124950013,5000,5000,0.125374925014997,0.00468260881063553,-0.0024608569934479185,-0.34230982189547504,0.34341259343566377,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUAD,CYP3A7,58,1,1,1,0.8103448275862069,0.4358485342520532,0.34001630821907375,-0.09583222603297942,2000,-0.3992060197640591,0.20302725112170877,0.543728135932034,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust,58,0.43584853425205317,0.34001630821907375,-0.09583222603297942,5000,5000,0.3633273345330934,0.006801092965820145,4.607817155323213e-4,-0.1851199034645492,0.18663706033472008,joint within-patient normal/tumor label swap for both genes,0.6318736252749451,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUSC,CYP3A4,51,1,1,0.9411764705882352,0.8823529411764706,-0.04321364737864778,0.23585055834953245,0.27906420572818025,2000,-0.09049702028134649,0.6358175079938233,0.13893053473263367,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust,51,-0.04321364737864778,0.23585055834953245,0.27906420572818025,5000,5000,0.16176764647070585,0.00520714433588891,-0.0025885533643974223,-0.38257748204273706,0.3924885394295271,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUSC,CYP3A43,51,1,1,0.8823529411764706,0.803921568627451,-0.35615199456005964,0.08572731073639862,0.44187930529645825,2000,0.03924796696642693,0.8058750249838577,0.02898550724637681,primary_n_ge_30,lung,0.12882447665056362,TRUE,FALSE,not_robust,51,-0.35615199456005964,0.08572731073639862,0.44187930529645825,5000,5000,0.03479304139172166,0.0025913614378675134,-3.849038746443559e-4,-0.40665709177560105,0.41214045713025377,joint within-patient normal/tumor label swap for both genes,0.13917216556688664,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUSC,CYP3A5,51,1,1,1,1,0.24235294117647055,-0.1492307692307692,-0.39158371040723977,2000,-0.8008493135425797,0.05943305423738532,0.08395802098950525,primary_n_ge_30,lung,0.3053018945072918,TRUE,FALSE,not_robust,51,0.24235294117647058,-0.1492307692307692,-0.39158371040723977,5000,5000,0.023195360927814438,0.0021285114797963025,0.0015837104072398689,-0.3389298642533936,0.35304977375565577,joint within-patient normal/tumor label swap for both genes,0.10309049301250862,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
LUSC,CYP3A7,51,1,1,1,0.7843137254901961,0.547601809954751,0.1270813082811874,-0.4205205016735637,2000,-0.7567937957684918,-0.07280058466682558,0.01999000499750125,primary_n_ge_30,lung,0.09995002498750626,TRUE,FALSE,not_robust,51,0.547601809954751,0.1270813082811874,-0.42052050167356364,5000,5000,1.999600079984003e-4,1.9994001499650077e-4,6.39533950340665e-5,-0.2002669518931647,0.1959703012632213,joint within-patient normal/tumor label swap for both genes,0.001999600079984003,40,TRUE,TRUE,primary_permutation_estimable,FALSE,permutation_only
PRAD,CYP3A4,52,1,1,0.9230769230769232,0.8653846153846154,-0.1347935644054715,-0.3125707644875061,-0.1777772000820346,2000,-0.5147369140336002,0.18406073112599952,0.3598200899550225,primary_n_ge_30,prostate,0.6542183453727682,FALSE,FALSE,not_robust,52,-0.1347935644054715,-0.3125707644875061,-0.1777772000820346,5000,5000,0.34133173365326935,0.006704914993785515,9.70249931740122e-4,-0.37345946135969843,0.3580198992919837,joint within-patient normal/tumor label swap for both genes,0.62060315209685335,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
PRAD,CYP3A43,52,1,1,0.9807692307692308,0.9807692307692308,-0.306923930675318,-0.1214035686843678,0.18552036199095015,2000,-0.22294988632856944,0.5996029028395784,0.3868065967016492,primary_n_ge_30,prostate,0.6727071246985203,FALSE,FALSE,not_robust,52,-0.306923930675318,-0.12140356868436779,0.18552036199095018,5000,5000,0.40451909618076387,0.006940248265874497,-4.2687612054980936e-5,-0.42201186715615124,0.4205604883462818,joint within-patient normal/tumor label swap for both genes,0.6472305538892222,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
PRAD,CYP3A5,52,1,1,1,1,-0.15239477503628446,0.2149748143088875,0.367369589345172,2000,-0.03392728207993927,0.7258528431623866,0.06996501749125437,primary_n_ge_30,prostate,0.2798600699650175,TRUE,FALSE,not_robust,52,-0.15239477503628446,0.21497481430888754,0.367369589345172,5000,5000,0.04559088182363527,0.002949700072470456,-7.256894049346985e-4,-0.35926107743532826,0.36225347904038246,joint within-patient normal/tumor label swap for both genes,0.16578502481321916,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
PRAD,CYP3A7,52,1,1,0.9423076923076924,0.8461538461538461,-0.17310196157707128,-0.0777939396099386,0.09530802196713269,2000,-0.3553220825380524,0.562500112806267,0.6836581709145427,primary_n_ge_30,prostate,0.8783487044356609,FALSE,FALSE,not_robust,52,-0.17310196157707128,-0.0777939396099386,0.09530802196713267,5000,5000,0.6316736652669466,0.006820784746209398,0.002905069796275403,-0.39575611108037284,0.38171337640017494,joint within-patient normal/tumor label swap for both genes,0.8150627938928343,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
STAD,CYP3A4,33,1,1,0.9696969696969696,1,0.1477272727272727,-0.01537433155080214,-0.16310160427807488,2000,-0.6655339614461393,0.3431453245727819,0.5237381309345327,primary_n_ge_30,stomach,0.7369648509078793,FALSE,FALSE,not_robust,33,0.14772727272727273,-0.01537433155080214,-0.16310160427807488,5000,5000,0.5728854229154169,0.006994837916191726,0.0011697860962566892,-0.530422794117647,0.5642546791443839,joint within-patient normal/tumor label swap for both genes,0.7901867902281613,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
STAD,CYP3A43,33,1,1,0.696969696969697,0.7575757575757576,0.3786070919601917,-0.04264654245125235,-0.421253634411444,2000,-0.9109008803666272,0.07398452721304384,0.10194902548725636,primary_n_ge_30,stomach,0.33983008495752126,TRUE,FALSE,not_robust,33,0.3786070919601917,-0.04264654245125235,-0.42125363441144403,5000,5000,0.14437112577484504,0.004969977930267328,-0.0015687381223580404,-0.5486223019360074,0.5586033902931249,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
STAD,CYP3A5,33,1,1,1,1,-0.13135026737967914,-0.0855614973262032,0.04578877005347594,2000,-0.5515855255456139,0.6215116584341804,0.8575712143928036,primary_n_ge_30,stomach,0.9784581393513768,FALSE,FALSE,not_robust,33,-0.13135026737967914,-0.0855614973262032,0.04578877005347594,5000,5000,0.8792241551689662,0.0046079888579524326,0.006016042780748663,-0.5501671122994654,0.5631768048128342,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
STAD,CYP3A7,33,1,1,0.7878787878787878,0.7878787878787878,0.39122852772422106,0.07324258438127233,-0.3179859433429487,2000,-0.7998786994979851,0.17195795575319914,0.2018990504747626,primary_n_ge_30,stomach,0.41179410294852575,TRUE,FALSE,not_robust,33,0.39122852772422106,0.07324258438127233,-0.3179859433429487,5000,5000,0.16636672665466906,0.005266139130246002,5.781035642260096e-4,-0.4609327189306478,0.44348290863128276,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
THCA,CYP3A4,59,1,1,0.9661016949152542,0.9152542372881356,-0.18182615177498768,0.0839336599010873,0.265759811676075,2000,-0.10504739678225802,0.5894880224409889,0.16091954022988506,primary_n_ge_30,thyroid,0.41179410294852575,TRUE,FALSE,not_robust,59,-0.18182615177498768,0.0839336599010873,0.265759811676075,5000,5000,0.16376724655068986,0.005232975281378652,-0.0019692148561206574,-0.37197421476817766,0.3647761591857177,joint within-patient normal/tumor label swap for both genes,0.3914511215403978,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
THCA,CYP3A43,59,1,1,0.7966101694915254,0.7796610169491526,0.04762743566783307,0.06544142441657386,0.01781398874874078,2000,-0.3377228105917541,0.39692002890333394,0.927536231884058,primary_n_ge_30,thyroid,0.9784581393513768,FALSE,FALSE,not_robust,59,0.04762743566783307,0.06544142441657386,0.017813988748740787,5000,5000,0.9140171965606879,0.0039641908668175945,-0.006194141910592185,-0.35128568444637304,0.3444874703870232,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
THCA,CYP3A5,59,1,1,1,1,0.06405610753945062,0.09929865575686736,0.03524254821741672,2000,-0.3620525857455564,0.41001967705676473,0.8765617191404298,primary_n_ge_30,thyroid,0.9784581393513768,FALSE,FALSE,not_robust,59,0.06405610753945062,0.09929865575686735,0.03524254821741672,5000,5000,0.8356328734253149,0.005240669988738762,0.004500292226767982,-0.34086060783167743,0.35956750438340135,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
THCA,CYP3A7,59,1,1,0.8135593220338984,0.7627118644067796,-0.05108766291829036,-0.0297712721618726,0.02131639075641775,2000,-0.34813287697203116,0.3706386607452309,0.929535232383808,primary_n_ge_30,thyroid,0.9784581393513768,FALSE,FALSE,not_robust,59,-0.05108766291829036,-0.029771272161872604,0.021316390756417756,5000,5000,0.9032193561287742,0.004180829379651721,-0.003547495187713399,-0.3631067977023433,0.35435925022888054,joint within-patient normal/tumor label swap for both genes,0.9749844902814307,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
