tcga_code,gene_id,gene_symbol,baseline_tpm,organ_specificity_log2,logFC,p_value,q_value_project
KIRC,ENSG00000113492,AGXT2,42.7628,8.743582286503383,-0.4990787988863836,0.21391522483886707,0.24564549943776115
KIRC,ENSG00000244067,GSTA2,42.4242,8.732140284760643,0.7728358504974336,0.10164338840802402,0.12253964740381608
KIRC,ENSG00000204511,MCCD1,40.982,8.682362608038567,-6.690960311996426,4.812076896396255e-28,2.2181682565131143e-26
KIRC,ENSG00000124568,SLC17A1,40.8232,8.67677515117339,-0.9813111121520675,0.011748137072888746,0.015931744916560703
KIRC,ENSG00000275410,HNF1B,53.4655,8.59281341676235,-0.3095654688678848,0.0018324010567524398,0.0027227994633589525
KIRC,ENSG00000137731,FXYD2,299.041,8.53918567431365,-0.3761047811810657,0.002640790852412432,0.003862158903389938
KIRC,ENSG00000165685,TMEM52B,60.0158,8.481885091211934,-6.005296122194748,3.9684822591200095e-29,2.3786160804096643e-27
KIRC,ENSG00000131183,SLC34A1,35.5047,8.475923886559976,-5.510421269355131,1.3820487286310935e-14,6.522727414761694e-14
KIRC,ENSG00000153086,ACMSD,48.66,8.470324163851268,0.4878447475711671,0.08573225017972619,0.1043684090507852
KIRC,ENSG00000015413,DPEP1,145.626,8.387543051785121,-4.655668758990452,2.2908879256304848e-18,1.724932623860847e-17
KIRC,ENSG00000095932,SMIM24,150.874,8.385002177865424,-1.0744043736219413,4.613534698529094e-5,8.100005572274382e-5
KIRC,ENSG00000243955,GSTA1,101.195,8.377050079634003,1.3673566202410874,0.004825011666100881,0.006857039013390814
KIRC,ENSG00000168269,FOXI1,32.327,8.341051748094378,-9.527603648273335,1.5561345985586596e-29,1.051907215217384e-27
KIRC,ENSG00000105929,ATP6V0A4,41.9888,8.313311582548863,-8.642727126022937,1.1543962277209077e-27,4.94427436965971e-26
KIRC,ENSG00000104327,CALB1,82.9785,8.293313827291456,-8.496934755018433,1.247964848938775e-28,6.65099251230393e-27
KIRC,ENSG00000147614,ATP6V0D2,31.8615,8.272079374693943,-6.957678605064587,4.925009475463646e-27,1.8499623064329559e-25
KIRC,ENSG00000161270,NPHS1,36.7847,8.25176016721096,-6.273126645980768,2.8971217721738296e-20,2.8378380766506433e-19
KIRC,ENSG00000124564,SLC17A3,33.6126,8.182728904945465,2.569414772170311,1.782080597487248e-6,3.5906352996510043e-6
KIRC,ENSG00000184908,CLCNKB,137.293,8.141461722865907,-7.969907783318422,4.630721115432389e-34,1.1663904447656961e-31
KIRC,ENSG00000151418,ATP6V1G3,28.0977,8.139433680983261,-8.542459450933217,8.814406179923602e-31,7.868996031849096e-29
KIRC,ENSG00000137673,MMP7,85.5247,8.097422377218582,-1.6496023858284663,5.8116799239153215e-6,1.1118864619784824e-5
KIRC,ENSG00000148942,SLC5A12,41.9997,8.063485433110086,-0.7026677496368658,0.17838750532248301,0.20759709793812745
KIRC,ENSG00000145692,BHMT,105.675,8.008048306729869,0.1513392549714896,0.6661034785732605,0.6959368623600338
KIRC,ENSG00000143839,REN,48.2006,7.967264684067101,-0.6611849543592645,0.15292469760267094,0.17973451571366025
KIRC,ENSG00000124253,PCK1,147.634,7.9356105114257,-2.814332351023433,3.05152656970778e-9,8.035818303734079e-9
KIRC,ENSG00000186335,SLC36A2,30.4297,7.930504689335576,-6.287325937983351,1.2236168679859643e-16,7.300982992906665e-16
KIRC,ENSG00000187783,TMEM72,33.7284,7.910325241804368,-3.4934690531625505,1.6900369136851458e-18,1.2946343598751019e-17
KIRC,ENSG00000162896,PIGR,84.7911,7.898265132091897,-3.497659268117254,2.6130803576457037e-12,9.486539843354118e-12
KIRC,ENSG00000132677,RHBG,32.6976,7.897622983847958,-7.268658508536304,2.8029010426571785e-29,1.7391137906316887e-27
KIRC,ENSG00000156284,CLDN8,22.6281,7.8283332740559075,-10.605364132895861,6.573946562232022e-33,1.0952091445961034e-30
KIRC,ENSG00000074803,SLC12A1,28.8841,7.794032024679016,-10.26736502266544,4.4819234679706683e-32,5.747184044565054e-30
KIRC,ENSG00000205358,MT1H,152.006,7.785895734292036,-6.037729419101012,2.747158908904627e-20,2.705360120756879e-19
KIRC,ENSG00000168065,SLC22A11,28.4202,7.780457154373892,0.7885259860159101,0.04297435510755098,0.054423379742955864
KIRC,ENSG00000132437,DDC,38.1714,7.746794744781789,-0.5728596546732305,0.15883869214856797,0.1861785523505291
KIRC,ENSG00000002726,AOC1,34.8925,7.735861692322539,-1.116628835800352,3.017255105400816e-4,4.876190308590778e-4
KIRC,ENSG00000271824,SMIM32,33.5009,7.696939446231234,-0.8998065861924502,0.021227505300658242,0.02790850414163469
KIRC,ENSG00000174358,SLC6A19,20.2439,7.668452465396572,-3.2587260606247255,3.4870288926858996e-7,7.526120301076023e-7
KIRC,ENSG00000151704,KCNJ1,40.6043,7.664517669364337,-8.815398340196436,1.1776646047316892e-34,3.609178908503912e-32
KIRC,ENSG00000166840,GLYATL1,29.3977,7.643023514447565,-0.6803699817583115,0.055278296259628476,0.06903017129559223
KIRC,ENSG00000163586,FABP1,54.3161,7.542074554019035,-4.912803212102111,9.717291682000865e-15,4.6557621695601073e-14
KIRC,ENSG00000137251,TINAG,18.3533,7.527735026001573,0.125988534520733,0.7004727388055494,0.7281777726943357
KIRC,ENSG00000135220,UGT2A3,18.0084,7.500515269798867,1.346558820524836,1.0548481789271463e-6,2.1742306643682964e-6
KIRC,ENSG00000116882,HAO2,27.0596,7.497487810822933,-2.090216878601123,5.742971988669884e-7,1.2121887603379629e-6
KIRC,ENSG00000165376,CLDN2,40.896,7.4797078249329845,1.26763411316053,0.0010030820964431369,0.001533690634234997
KIRC,ENSG00000198203,SULT1C2,56.0678,7.475431427408881,-1.1329845296771028,3.618311132405469e-10,1.051452093660691e-9
KIRC,ENSG00000187048,CYP4A11,43.3648,7.474527296977935,-1.5493088271352031,0.0028494658734875586,0.004152134913997917
KIRC,ENSG00000171759,PAH,28.5943,7.451843246086097,-3.8326311816329004,2.482598389771214e-10,7.335123129560026e-10
KIRC,ENSG00000174827,PDZK1,95.274,7.448535410239406,-0.5846661516042814,0.004216632357309588,0.006035823517756326
KIRC,ENSG00000164325,TMEM174,16.9692,7.4152516334316,-2.2873830180503307,5.028640239666573e-7,1.0680181709582952e-6
KIRC,ENSG00000166415,WDR72,20.9719,7.413249835878065,-2.129687631006959,5.601434959377603e-17,3.505328626752775e-16
KIRC,ENSG00000081479,LRP2,20.6905,7.402208277495086,1.1461747031146972,0.0029603833869004475,0.004303977990795003
