background_gene_id,background_gene_symbol,n_coverage,covered_cancers,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,target_gene,n_target_cancers,coverage_fraction,eligible_primary_null
ENSG00000176720,BOK,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC,3,0.3333333333333333,2,0.2222222222222222,-0.3564669960594162,-0.2694106042015244,0.7319984819979849,0.947095489509504,MAOB,12,0.75,FALSE
ENSG00000174574,AKIRIN1,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,3,0.3333333333333333,0,0,-0.25938395338818826,-0.39781994070575794,0.5847477184110984,0.9113746431418364,MAOB,12,0.75,FALSE
ENSG00000123933,MXD4,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,3,0.3333333333333333,0,0,-0.2570783700459461,-0.2488951091048003,0.5651348329137174,0.9288794056938843,MAOB,12,0.75,FALSE
ENSG00000158856,DMTN,9,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,2,0.2222222222222222,1,0.1111111111111111,-0.45846054835733696,-0.2997208184823218,0.8450682352849153,0.9625768100648083,MAOB,12,0.75,FALSE
ENSG00000148484,RSU1,9,BRCA;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,2,0.2222222222222222,0,0,-0.3803728459350341,-0.30724352134815563,0.8049282200954929,0.92772549352873,MAOB,12,0.75,FALSE
ENSG00000141232,TOB1,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC,2,0.2222222222222222,0,0,-0.24310587061342584,-0.32219228481393003,0.49262173766321327,0.7085453932009508,MAOB,12,0.75,FALSE
ENSG00000014641,MDH1,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,2,0.2222222222222222,1,0.1111111111111111,-0.20227905553553005,-0.1094132346753231,0.7499057921328618,1.0841391656731199,MAOB,12,0.75,FALSE
ENSG00000138029,HADHB,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,2,0.2222222222222222,0,0,-0.10866670623155393,-0.2560351971237664,0.5792269728854444,0.8553480032239649,MAOB,12,0.75,FALSE
ENSG00000143158,MPC2,9,COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,2,0.2222222222222222,1,0.1111111111111111,-0.05530150801060119,-0.06535356000659437,0.7553133382818131,0.9859455222081844,MAOB,12,0.75,FALSE
ENSG00000113328,CCNG1,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,2,0.2222222222222222,0,0,-0.016802308089574756,-0.1226474022023523,0.6257424932638087,1.4201490783756185,MAOB,12,0.75,FALSE
ENSG00000002549,LAP3,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;PRAD;STAD,2,0.2222222222222222,0,0,0.12127518716754775,-6.439054465343159e-4,0.8288682018146498,1.0803333560167978,MAOB,12,0.75,FALSE
ENSG00000183864,TOB2,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.1111111111111111,0,0,-0.3407120566066822,-0.37343969737768085,0.6537690693074403,0.8724734273010305,MAOB,12,0.75,FALSE
ENSG00000139684,ESD,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,1,0.1111111111111111,0,0,-0.3171766599388459,-0.2673998429014581,0.8042044055381405,1.4411966097453537,MAOB,12,0.75,FALSE
ENSG00000264364,DYNLL2,9,ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,1,0.1111111111111111,0,0,-0.25695405565198637,-0.16980822962463027,0.8129583392189523,1.611658284268577,MAOB,12,0.75,FALSE
ENSG00000111269,CREBL2,9,BRCA;COAD;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1111111111111111,0,0,-0.2543224417144777,-0.2806577367891536,0.5078309336236104,0.7609956069068969,MAOB,12,0.75,FALSE
ENSG00000167778,SPRYD3,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.1111111111111111,0,0,-0.23914217302368312,-0.1740003462155853,0.8521664080521557,0.9814167120692878,MAOB,12,0.75,FALSE
ENSG00000213722,DDAH2,9,BRCA;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1111111111111111,0,0,-0.2133737455340173,-0.15475790728478853,0.7016592780784106,0.9180736036632345,MAOB,12,0.75,FALSE
ENSG00000131828,PDHA1,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,1,0.1111111111111111,1,0.1111111111111111,-0.15645003403804664,-0.07414070879393554,0.8405913991162265,1.573029699224414,MAOB,12,0.75,FALSE
ENSG00000163001,CFAP36,9,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1111111111111111,0,0,-0.15618715850914872,-0.2742455312827831,0.7287065406475172,0.9020608670927197,MAOB,12,0.75,FALSE
ENSG00000128309,MPST,9,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,1,0.1111111111111111,0,0,-0.10199603861590376,-0.09273170603341133,0.6063454361789027,1.0165172781420075,MAOB,12,0.75,FALSE
ENSG00000186918,ZNF395,9,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.1111111111111111,1,0.1111111111111111,-0.0713018470737131,0.1792401967910512,0.8017289900342612,1.008114711274806,MAOB,12,0.75,FALSE
