tcga_code,gene,gene_id,n_pairs,logFC,AveExpr,t,p_value,q_value_project,B,mean_normal_logcpm,mean_tumor_logcpm,analysis_status,organ,mapping_valid_for_baseline_model,mapping_note,reserved,q_value_global,passes_statistical_screen,passes_effect_screen,robust_count_level_change,count_level_interpretation,identity_median_logFC,n_identity_genes,identity_status,residual_vs_identity,more_negative_than_identity
LUSC,MAOB,ENSG00000069535,51,-2.240749604167458,4.6101405345968764,-12.861599872391627,4.941214352875618e-18,5.743599883157989e-17,30.467165020660904,5.825534725399154,3.3947463437945955,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,1.0623610858682579e-16,TRUE,TRUE,TRUE,loss,-2.8888016259025955,200,estimable,0.6480520217351375,FALSE
LUSC,CYP3A4,ENSG00000160868,51,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-2.8888016259025955,200,estimable,,FALSE
LUSC,CYP3A5,ENSG00000106258,51,-0.99559653632554,2.905386686988982,-7.132965724276386,2.497350686667581e-9,7.658800630696387e-9,10.516314200812461,3.400164825569516,2.4106085484084447,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,7.159071968447066e-9,TRUE,TRUE,TRUE,loss,-2.8888016259025955,200,estimable,1.8932050895770556,FALSE
LUSC,CYP3A7,ENSG00000160870,51,-2.6581924619032002,-3.073846039890402,-10.25964562874718,2.7328427456864017e-14,1.6556332585063324e-13,22.259617652196717,-1.7202498289374948,-4.42744225084331,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,1.8028016872884673e-13,TRUE,TRUE,TRUE,loss,-2.8888016259025955,200,estimable,0.23060916399939524,FALSE
LUSC,CYP3A43,ENSG00000021461,51,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-2.8888016259025955,200,estimable,,FALSE
PRAD,MAOB,ENSG00000069535,52,-1.3230157448894477,6.2703513081296185,-7.773706350685809,2.2349894747978983e-10,2.6369362062845728e-9,13.134789120644287,6.933407854614689,5.607294761644538,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,8.008712284692469e-10,TRUE,TRUE,TRUE,loss,0.0962317907807814,200,estimable,-1.4192475356702292,TRUE
PRAD,CYP3A4,ENSG00000160868,52,,,,,,,,,low_expression_not_estimable,prostate,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0962317907807814,200,estimable,,FALSE
PRAD,CYP3A5,ENSG00000106258,52,-1.4360464349641855,3.990327145276197,-10.227279309547438,2.934793444423086e-14,1.5696343460703993e-12,22.1462137248568,4.676410977894947,3.304243312657451,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,1.8028016872884673e-13,TRUE,TRUE,TRUE,loss,0.0962317907807814,200,estimable,-1.532278225744967,TRUE
PRAD,CYP3A7,ENSG00000160870,52,,,,,,,,,low_expression_not_estimable,prostate,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0962317907807814,200,estimable,,FALSE
PRAD,CYP3A43,ENSG00000021461,52,-0.7124778756562306,-2.6489235488140443,-2.6196272764963404,0.01139238692180603,0.02082179928571889,-3.2797061570389583,-2.319085152527923,-2.9787619451001675,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,0.014408018754048802,TRUE,TRUE,TRUE,loss,0.0962317907807814,200,estimable,-0.8087096664370119,TRUE
STAD,MAOB,ENSG00000069535,33,-1.9133117519938714,4.982946826518018,-6.822460094353284,6.62658432887131e-8,1.9742899614604634e-6,7.947647298216664,5.975718183231056,3.9901754698049854,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,1.6761360361262727e-7,TRUE,TRUE,TRUE,loss,-0.46553715752626224,200,estimable,-1.4477745944676093,TRUE
STAD,CYP3A4,ENSG00000160868,33,-2.4340114440665364,0.6755974634895957,-2.842194677968817,0.007439761547413703,0.019576869056625593,-3.083687326877964,1.5348214423179378,-0.18362651533874597,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,0.009997179579337163,TRUE,TRUE,TRUE,loss,-0.46553715752626224,200,estimable,-1.9684742865402742,TRUE
STAD,CYP3A5,ENSG00000106258,33,-0.22373042944017868,5.506601092887592,-0.4846620005346165,0.630948559793814,0.7154951427196468,-7.034747924185393,5.6673362178172715,5.345865967957914,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,0.6459711445508095,FALSE,FALSE,FALSE,not_robust,-0.46553715752626224,200,estimable,0.24180672808608356,FALSE
STAD,CYP3A7,ENSG00000160870,33,,,,,,,,,low_expression_not_estimable,stomach,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-0.46553715752626224,200,estimable,,FALSE
STAD,CYP3A43,ENSG00000021461,33,,,,,,,,,low_expression_not_estimable,stomach,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-0.46553715752626224,200,estimable,,FALSE
THCA,MAOB,ENSG00000069535,59,-1.5046117850422522,2.601319773031304,-6.907089707517074,3.2803041748042093e-9,1.4885194127005642e-8,10.391320921980224,3.454659760186185,1.7479797858764228,primary_count_level,thyroid,TRUE,Direct organ mapping,FALSE,8.815817469786312e-9,TRUE,TRUE,TRUE,loss,-0.5088824303757851,200,estimable,-0.9957293546664672,TRUE
THCA,CYP3A4,ENSG00000160868,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-0.5088824303757851,200,estimable,,FALSE
THCA,CYP3A5,ENSG00000106258,59,-0.23007884364699577,2.299283551273958,-5.094724116080176,3.571962961260232e-6,9.821073851861317e-6,3.549561479308153,2.4175892682076956,2.1809778343402204,primary_count_level,thyroid,TRUE,Direct organ mapping,FALSE,6.399766972257916e-6,TRUE,FALSE,FALSE,not_robust,-0.5088824303757851,200,estimable,0.2788035867287893,FALSE
THCA,CYP3A7,ENSG00000160870,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-0.5088824303757851,200,estimable,,FALSE
THCA,CYP3A43,ENSG00000021461,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-0.5088824303757851,200,estimable,,FALSE
